id,firebase_key,power,mode,eco,powerful,temp_room,temp_set,humidity,timestamp,created_at
2231093,353,1,HEAT,1,0,23.0,24.0,19.0,41000660,2026-04-07 13:47:45
2231094,354,1,HEAT,1,0,23.0,24.0,19.0,41902063,2026-04-07 13:47:45
2231095,355,1,HEAT,1,0,23.0,24.0,19.0,42803296,2026-04-07 13:47:45
2231096,356,1,HEAT,1,0,23.0,24.0,19.0,43704713,2026-04-07 13:47:45
2231097,357,1,HEAT,1,0,24.0,24.0,19.0,44606115,2026-04-07 13:47:45
2231098,358,1,HEAT,1,0,24.0,24.0,19.0,45507521,2026-04-07 13:47:45
2231099,359,1,HEAT,1,0,24.0,24.0,19.0,46408781,2026-04-07 13:47:45
2231100,360,1,HEAT,1,0,24.0,24.0,19.0,47310149,2026-04-07 13:47:45
2231101,361,1,HEAT,1,0,24.0,24.0,19.0,48211439,2026-04-07 13:47:45
2231102,362,1,HEAT,1,0,23.0,24.0,19.0,49112752,2026-04-07 13:47:45
2231103,363,1,HEAT,1,0,24.0,24.0,19.0,50014006,2026-04-07 13:47:45
2231104,364,1,HEAT,1,0,24.0,24.0,19.0,50915445,2026-04-07 13:47:45
2231105,365,1,HEAT,1,0,24.0,24.0,19.0,51816733,2026-04-07 13:47:45
2231106,366,1,HEAT,1,0,23.0,24.0,19.0,52718142,2026-04-07 13:47:45
2231107,367,1,HEAT,1,0,23.0,24.0,19.0,53619405,2026-04-07 13:47:45
2231108,368,1,HEAT,1,0,24.0,24.0,19.0,54520769,2026-04-07 13:47:45
2231109,369,1,HEAT,1,0,24.0,24.0,19.0,55421968,2026-04-07 13:47:45
2231110,370,1,HEAT,1,0,23.0,24.0,19.0,56323339,2026-04-07 13:47:45
2231111,371,1,HEAT,1,0,24.0,24.0,19.0,57224607,2026-04-07 13:47:45
2231112,372,1,HEAT,1,0,23.0,24.0,19.0,58125975,2026-04-07 13:47:45
2231113,373,1,HEAT,1,0,22.0,24.0,20.0,59027260,2026-04-07 13:47:45
2231114,374,1,HEAT,1,0,23.0,24.0,19.0,59928677,2026-04-07 13:47:45
2231115,375,1,HEAT,1,0,23.0,24.0,19.0,60829928,2026-04-07 13:47:45
2231116,376,1,HEAT,1,0,27.0,24.0,17.0,61731343,2026-04-07 13:47:45
2231117,377,1,HEAT,1,0,28.0,24.0,17.0,62632701,2026-04-07 13:47:45
2231118,378,1,HEAT,1,0,27.0,24.0,17.0,63534024,2026-04-07 13:47:45
2231119,379,1,HEAT,1,0,28.0,24.0,17.0,64435284,2026-04-07 13:47:45
2231120,380,1,HEAT,1,0,28.0,24.0,17.0,65336618,2026-04-07 13:47:45
2231883,381,1,HEAT,1,0,26.0,24.0,18.0,66237894,2026-04-09 16:51:30
2231884,382,1,HEAT,1,0,23.0,24.0,19.0,67139315,2026-04-09 16:51:30
2231885,383,1,COOL,1,0,27.0,24.0,17.0,67172149,2026-04-09 16:51:30
2231886,384,1,COOL,0,1,27.0,24.0,17.0,67174949,2026-04-09 16:51:30
